pl2FileName,sessionName,areaName,blockNames,gratingsTask3DIndices,gratingsTask3DLogIndices,gratingsTask0DIndices,gratingsTask0DLogIndices,vepmIndices,aepmIndices,spikeChannelPrefix,spikeChannelsToLoad,muaChannelsToLoad,lfpChannelsToLoad,spkcChannelsToLoad,directChannelsToLoad,pldChannels,plvChannels,pmChannels,piChannels,notes
20170127-all-sort-04-noSPKC.pl2,M20170127,PUL,"vepm1, vepm2, rfm1, g1, g2, g3, g4, g5, rest1, rfm2, vepm3","6, 7, 8","5, 6, 7",,,"1, 2",,SPK_SPKC,1:32,1:32,1:32,1:32,1:3,[],[],1,2:9,"vepm3: ignore"
20170130-all-sort-02-noSPKC.pl2,M20170130,PUL,"vepm1, rfm1, g1, g2, g3, g4, g5, g6, g7, rest1, g8, g9, rfm2","4, 5, 7, 9, 11, 12","3, 4, 6, 8, 9, 10","1, 4, 6","1, 5, 7",1,,SPK_SPKC,1:32,1:32,1:32,1:32,1:3,[],[],1:15,16:23,"g2: poor performance, g3: poorer performance, g5, g7, g8, g9: faint distractors"
20170201-all-sort-01-noSPKC.pl2,M20170201,PUL,"vepm3, rfm1, rest1, g1, g2, g3, g4, g5, g6, g7, g8, g9, vepm4","6, 7, 8, 9, 10, 11","5, 6, 7, 8, 9, 10","4, 5","1, 3",1,,SPK_SPKC,1:32,1:32,1:32,1:32,1:3,1:8,[],9:24,25:32,"g9: rest"
20170211-all-sort-01-noSPKC.pl2,M20170211,PUL,"vepm4, rfm2, rest4, g1, g2, g3, g4, g5, g6, g7, vepm5, rfm3","5, 6, 7, 8, 9","2, 3, 4, 5, 6","4","1",1,,SPK_SPKC,1:32,1:32,1:32,1:32,1:3,1:7,[],8:23,24:32,"g7: no trials, vepm5: started recording a few trials in"
20170327-all-sort-02-noSPKC.pl2,M20170327,PUL,"vepm1, vepm2, aepm1, rfm1, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, rfm2, rfm3, vepm3, vepm4, rfm4","6, 7, 8, 9","2, 3, 4, 5",,,"1, 2, 17, 18",3,SPK_SPKC,1:32,1:32,1:32,1:32,1:3,[],[],1:11,12:20,"impossible to sort: lots of overlapping clusters"
20170327-all-sort-02-noSPKC.pl2,M20170327,PUL,"vepm1, vepm2, aepm1, rfm1, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, rfm2, rfm3, vepm3, vepm4, rfm4","6, 7, 8, 9","2, 3, 4, 5",,,"1, 2, 17, 18",3,SPK_SPKC,33:64,33:64,33:64,33:64,1:3,33:36,[],37:56,57:64,"impossible to sort: lots of overlapping clusters"
d1_34.50mm_d2_37.00mm_all_merged_noWB-sort.pl2,M20170608,PUL,"rest3, vepm1, aepm1, rfm1, rfm2, rfm3, rfm4, g1, g2, g3, g4, rfm5, vepm2, rest4","9, 10, 11","2, 3, 4",,,"2",3,SPK_SPKC,1:32,1:32,1:32,1:32,1:3,[],[],[],[],
d1_34.50mm_d2_37.00mm_all_merged_noWB-sort.pl2,M20170608,PUL,"rest3, vepm1, aepm1, rfm1, rfm2, rfm3, rfm4, g1, g2, g3, g4, rfm5, vepm2, rest4","9, 10, 11","2, 3, 4",,,"2",3,SPK_SPKC,33:64,33:64,33:64,33:64,1:3,33:36,37:45,[],46:58,
d1-33.00mm-d2-32.00mm-all_merged_noWB-sort.pl2,M20170529,PUL,"vepm4, vepm5, aepm1, aepm2, aepm3, rfm1, rfm2, rfm3, rfm4, g1, g2, g3, g4, rfm5, rest1","11, 12, 13","2, 3, 4",,,"1, 2",3,SPK_SPKC,1:64,1:64,1:64,1:64,1:3,[],[],[],[],
20170613-all-sort-01-noSPKC.pl2,M20170613,PUL,"vepm1, aepm1, rfm1, rfm2, rfm3, rfm4, g1, g2, g3, g4, g5, rfm5, rest1","8, 9, 10, 11","2, 3, 4, 5",,,"2",3,SPK_SPKC,1:32,1:32,1:32,1:32,1:3,[],[],[],[],
20170613-all-sort-01-noSPKC.pl2,M20170613,PUL,"vepm1, aepm1, rfm1, rfm2, rfm3, rfm4, g1, g2, g3, g4, g5, rfm5, rest1","8, 9, 10, 11","2, 3, 4, 5",,,"2",3,SPK_SPKC,33:64,33:64,33:64,33:64,1:3,[],[],[],[],